actual,proposed
-8.25341510772705,-8.0
-8.25341510772705,-8.0
-8.25341510772705,-8.0
-8.25341510772705,-8.0
-8.26047420501709,-8.0
-8.222904205322266,-8.0
-8.22994327545166,-8.0
-8.222904205322266,-8.0
-8.215862274169922,-8.0
-8.215862274169922,-8.0
-8.208462715148926,-8.0
-8.208462715148926,-8.0
-8.194372177124023,-8.0
-8.180264472961426,-8.0
-8.166141510009766,-8.0
-8.026017189025879,-8.0
-8.005006790161133,-8.0
-8.005006790161133,-8.0
-7.99098014831543,-8.0
-7.976938247680664,-8.0
-7.976938247680664,-8.0
-7.849761962890625,-8.0
-7.856727123260498,-8.0
-7.856727123260498,-8.0
-7.842792987823486,-8.0
-7.842792987823486,-8.0
-7.726785182952881,-8.0
-7.726785182952881,-8.0
-7.726785182952881,-8.0
-7.699121475219727,-8.0
-7.685266971588135,-8.0
-7.526437282562256,-8.0
-7.498922348022461,-8.0
-7.478249549865723,-8.0
-7.436807155609131,-8.0
-7.252095699310303,-8.0
-7.231594562530518,-8.0
-7.2179107666015625,-8.0
-7.211063861846924,-8.0
-7.1836419105529785,-8.0
-6.997929573059082,-8.0
-6.984393119812012,-7.89481258392334
-6.970844745635986,-8.0
-6.9640655517578125,-8.0
-6.943708419799805,-8.0
-6.936916351318359,-8.0
-6.732686996459961,-8.0
-6.719359397888184,-7.3758978843688965
-6.712690830230713,-8.0
-6.69266939163208,-8.0
-6.6859893798828125,-8.0
-6.561649799346924,-8.0
-6.568248271942139,-7.946381568908691
-6.568248271942139,-8.0
-6.568248271942139,-8.0
-6.561649799346924,-8.0
-6.473837375640869,-8.0
-6.493385314941406,-8.0
-6.512909889221191,-8.0
-6.525912284851074,-8.0
-6.545396327972412,-8.0
-6.564855575561523,-8.0
-6.496432304382324,-8.0
-6.521972179412842,-8.0
-6.5410990715026855,-8.0
-6.566566467285156,-8.0
-6.579283714294434,-8.0
-6.451158046722412,-8.0
-6.476119518280029,-7.767195224761963
-6.494815349578857,-8.0
-6.507266521453857,-8.0
-6.532139778137207,-8.0
-6.363232135772705,-8.0
-6.381467342376709,-7.199304580688477
-6.39968204498291,-8.0
-6.411813735961914,-8.0
-6.429994106292725,-8.0
-6.442340850830078,-8.0
-6.454428195953369,-8.0
-6.460468292236328,-8.0
-6.466506004333496,-8.0
-6.478574275970459,-8.0
-6.427638530731201,-8.0
-6.433621883392334,-8.0
-6.433621883392334,-8.0
-6.439602851867676,-8.0
-6.445581912994385,-8.0
-6.439602851867676,-8.0
-6.332334995269775,-8.0
-6.338240146636963,-7.795162200927734
-6.344143390655518,-8.0
-6.338240146636963,-8.0
-6.332334995269775,-8.0
-6.251317024230957,-8.0
-6.257165908813477,-7.924381256103516
-6.251317024230957,-8.0
-6.257165908813477,-8.0
-6.245466232299805,-8.0
-6.154409408569336,-8.0
-6.154409408569336,-7.5524983406066895
-6.154409408569336,-8.0
-6.148626804351807,-8.0
-6.154409408569336,-8.0
-6.062010288238525,-8.0
-6.06773042678833,-7.530067443847656
-6.062010288238525,-8.0
-6.050564289093018,-8.0
-6.050564289093018,-8.0
-6.033381462097168,-8.0
-5.932002067565918,-8.0
-5.926339149475098,-7.325257778167725
-5.9150071144104,-8.0
-5.926339149475098,-8.0
-5.920673847198486,-8.0
-5.919516086578369,-8.0
-5.902513027191162,-8.0
-5.9138503074646,-8.0
-5.919516086578369,-8.0
-5.908182621002197,-8.0
-5.82130765914917,-8.0
-5.82130765914917,-7.329908847808838
-5.815697193145752,-8.0
-5.815697193145752,-8.0
-5.815697193145752,-8.0
-5.810084819793701,-8.0
-5.723479747772217,-8.0
-5.717926025390625,-7.146516799926758
-5.717926025390625,-7.949911594390869
-5.7123703956604,-8.0
-5.706813812255859,-7.941408634185791
-5.555794715881348,-7.933695316314697
-5.5448994636535645,-6.2940592765808105
-5.539449691772461,-7.654728889465332
-5.5448994636535645,-7.6996846199035645
-5.539449691772461,-7.817290306091309
-5.450235843658447,-7.699051856994629
-5.450235843658447,-6.742153167724609
-5.444855690002441,-7.630341053009033
-5.439474105834961,-7.5698347091674805
-5.434090614318848,-7.558081150054932
-5.400792598724365,-7.555604457855225
-5.390028953552246,-7.212250709533691
-5.390028953552246,-7.443000793457031
-5.37925910949707,-7.5460524559021
-5.363092422485352,-7.424376964569092
-5.299263000488281,-7.345183372497559
-5.288547992706299,-6.786378383636475
-5.267101764678955,-7.298404216766357
-5.256369113922119,-7.161011219024658
-5.240260601043701,-7.2504353523254395
-5.229514122009277,-7.178674221038818
-5.02830171585083,-7.213108062744141
-5.017873287200928,-5.027608871459961
-5.007438659667969,-6.915890693664551
-4.991777420043945,-6.906859874725342
-4.9708781242370605,-6.835597991943359
-4.801388263702393,-6.749557018280029
-4.79121208190918,-5.0276384353637695
-4.786121845245361,-6.602888107299805
-4.786121845245361,-6.649481773376465
-4.786121845245361,-6.7005839347839355
-4.539906024932861,-6.7005839347839355
-4.544774532318115,-3.8553261756896973
-4.544774532318115,-6.411725044250488
-4.544774532318115,-6.362698078155518
-4.544774532318115,-6.362698078155518
-4.3500261306762695,-6.362698078155518
-4.354715824127197,-4.1170244216918945
-4.359404563903809,-6.140564441680908
-4.3640923500061035,-6.150315761566162
-4.368779182434082,-6.157918930053711
-4.378150463104248,-6.164559364318848
-4.231828212738037,-6.221611499786377
-4.240907669067383,-4.472688674926758
-4.249984264373779,-6.029235363006592
-4.254521369934082,-6.03987455368042
-4.259057998657227,-6.000302791595459
-4.087069034576416,-6.009281158447266
-4.0914306640625,-4.020580291748047
-4.095791816711426,-5.77181339263916
-4.100152492523193,-5.777129650115967
-4.1045122146606445,-5.784209728240967
-3.991050958633423,-5.791271686553955
-4.003758430480957,-4.488051891326904
-4.012226581573486,-5.7310991287231445
-4.033385276794434,-5.706507682800293
-4.0545268058776855,-5.847546577453613
-3.9935684204101562,-5.892623424530029
-3.9977283477783203,-4.996267318725586
-3.9977283477783203,-5.640052318572998
